determinand.label,determinand.definition,limit,near_limit,unit
PFheptncAcid,Perfluoroheptanoic acid,0.005,0.0021,µg/l
PFdecncAcid,Perfluorodecanoic acid,0.005,0.0021,µg/l
PFDS,Perfluorodecanesulfonic acid,0.005,0.0021,µg/l
5:3 FTCA,"2H,2H,3H,3H-Perfluorooctanoic acid",0.005,0.0021,µg/l
FBSA,Perfluorobutylsulfonamide (perfluorobutane sulfonamide),0.005,0.0021,µg/l
PFundencAcid,Perfluoroundecanoic acid,0.005,0.0021,µg/l
MeFOSAA-L,2-(N-Methylperfluorooctanesulfonamido)acetic acid (L),0.005,0.0021,µg/l
PFUnDS,Perfluoroundecane sulfonic acid,0.005,0.0021,µg/l
PFdodencAcid,Perfluorododecanoic acid,0.005,0.0021,µg/l
PFBS,Perfluorobutanesulfonic acid,0.005,0.0021,µg/l
EtFOSAA-L,2-(N-Ethylperfluorooctanesulfonamido)acetic acid (L),0.005,0.0021,µg/l
PFtetdncAcid,Perfluorotetradecanoic acid,0.005,0.0021,µg/l
PFecHS,Perfluoro-4-ethylcyclohexanesulfonic acid,0.005,0.0021,µg/l
N-MeFOSA,N-methylperfluorooctanesulfonamide,0.005,0.0021,µg/l
PFPeS,Perfluoropentanesulfonic acid,0.005,0.0021,µg/l
